Order Id,Order #,Checks,Opened,# of Guests,Tab Names,Server,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
5E+17,51,51,1/2/2021 17:25,1,,,,None,,Dinner,DoorDash,0,25.33,1.7,0,0,27.03,FALSE,1/2/2021 17:25,1/2/2021 17:25,,API
5E+17,52,52,1/2/2021 17:31,1,,,,None,,Dinner,DoorDash,0,13.77,0.92,0,0,14.69,FALSE,1/2/2021 17:31,1/2/2021 17:31,,API
5E+17,53,53,1/2/2021 17:35,1,,,,None,,Dinner,DoorDash,0,44.32,2.98,0,0,47.3,FALSE,1/2/2021 17:35,1/2/2021 17:35,,API
5E+17,54,54,1/2/2021 17:36,1,,,,None,,Dinner,Take Out,0,41.88,2.81,6.28,0,50.97,FALSE,1/2/2021 17:57,1/2/2021 17:57,0:21:24,In Store
5E+17,55,55,1/2/2021 17:47,1,,,,None,,Dinner,Take Out,0,35.03,2.35,0,0,37.38,FALSE,1/2/2021 18:03,1/2/2021 18:03,0:15:02,In Store
5E+17,56,56,1/2/2021 17:55,1,,,,None,,Dinner,Take Out,0,54.68,3.66,0,0,58.34,FALSE,1/2/2021 18:28,1/2/2021 18:28,0:33:21,In Store
5E+17,57,57,1/2/2021 18:10,1,,,,None,,Dinner,Take Out,0,29.9,2,5,0,36.9,FALSE,1/2/2021 18:34,1/2/2021 18:34,0:23:27,In Store
5E+17,58,58,1/2/2021 18:20,1,,,,None,,Dinner,Take Out,5,38.28,2.57,6,0,46.85,FALSE,1/2/2021 18:38,1/2/2021 18:38,0:18:15,In Store
5E+17,59,59,1/2/2021 18:47,1,,,,None,,Dinner,DoorDash,0,11.56,0.77,0,0,12.33,FALSE,1/2/2021 18:47,1/2/2021 18:47,,API
5E+17,60,60,1/2/2021 18:57,1,,,,None,,Dinner,DoorDash,0,33.7,2.26,0,0,35.96,FALSE,1/2/2021 18:57,1/2/2021 18:57,,API
5E+17,62,62,1/2/2021 19:09,1,,,,None,,Dinner,DoorDash,0,16.96,1.13,0,0,18.09,FALSE,1/2/2021 19:09,1/2/2021 19:09,,API
5E+17,63,63,1/2/2021 19:12,1,,,,None,,Dinner,Take Out,0,17.36,1.16,0,0,18.52,FALSE,1/2/2021 19:24,1/2/2021 19:24,0:11:37,In Store
5E+17,64,64,1/2/2021 19:25,1,,,,None,,Dinner,Take Out,0,32.16,2.15,0,0,34.31,FALSE,1/2/2021 19:44,1/2/2021 19:44,0:18:28,In Store
5E+17,65,65,1/2/2021 19:52,1,,,,None,,Dinner,DoorDash,0,11.56,0.77,0,0,12.33,FALSE,1/2/2021 19:52,1/2/2021 19:52,,API
5E+17,1,1,1/3/2021 12:01,1,,,,None,,Lunch,Take Out,0,23.15,1.55,0,0,24.7,FALSE,1/3/2021 12:03,1/3/2021 12:03,0:01:45,In Store
5E+17,3,3,1/3/2021 12:32,1,,,,None,,Lunch,Take Out,0,21.75,1.46,0,0,23.21,FALSE,1/3/2021 12:32,1/4/2021 4:12,,Online
5E+17,4,4,1/3/2021 12:35,1,,,,None,,Lunch,Take Out,0,37.32,2.51,0,0,39.83,FALSE,1/3/2021 12:36,1/3/2021 12:36,0:00:54,In Store
5E+17,5,5,1/3/2021 12:37,1,,,,None,,Lunch,Take Out,0,26.52,1.77,3.98,0,32.27,FALSE,1/3/2021 12:37,1/4/2021 4:12,,Online
5E+17,7,7,1/3/2021 12:40,1,,,,None,,Lunch,Take Out,0,15.24,1.03,0,0,16.27,FALSE,1/3/2021 12:41,1/3/2021 12:41,0:00:57,In Store
5E+17,8,8,1/3/2021 12:41,1,,,,None,,Lunch,Take Out,0,13.47,0.9,0,0,14.37,FALSE,1/3/2021 12:42,1/3/2021 12:42,0:00:56,In Store
5E+17,9,9,1/3/2021 12:42,1,,,,None,,Lunch,Take Out,0,11.39,0.76,2.85,0,15,FALSE,1/3/2021 12:43,1/3/2021 12:43,0:00:47,In Store
5E+17,10,10,1/3/2021 12:43,1,,,,None,,Lunch,Take Out,0,2.29,0.16,0,0,2.45,FALSE,1/3/2021 12:43,1/3/2021 12:43,0:00:15,In Store
5E+17,11,11,1/3/2021 13:03,1,,,,None,,Lunch,Take Out,0,11.39,0.76,2.85,0,15,FALSE,1/3/2021 13:52,1/3/2021 13:52,0:48:30,In Store
5E+17,12,12,1/3/2021 13:50,1,,,,None,,Lunch,DoorDash,0,7.88,0.53,0,0,8.41,FALSE,1/3/2021 13:50,1/3/2021 13:50,,API
5E+17,14,14,1/3/2021 14:03,1,,,,None,,Lunch,DoorDash,0,14.48,0.97,0,0,15.45,FALSE,1/3/2021 14:03,1/3/2021 14:03,,API
5E+17,15,15,1/3/2021 14:14,1,,,,None,,Lunch,Take Out,0,22.37,1.5,0,0,23.87,FALSE,1/3/2021 14:14,1/4/2021 4:12,,Online
5E+17,16,16,1/3/2021 14:21,1,,,,None,,Lunch,Take Out,0,15.37,1.03,0,0,16.4,FALSE,1/3/2021 14:51,1/3/2021 14:51,0:29:31,In Store
5E+17,17,17,1/3/2021 14:21,1,,,,None,,Lunch,Take Out,0,9.18,0.62,0,0,9.8,FALSE,1/3/2021 14:27,1/3/2021 14:27,0:05:28,In Store
5E+17,18,18,1/3/2021 14:27,1,,,,None,,Lunch,Take Out,0,12.18,0.81,3.04,0,16.03,FALSE,1/3/2021 14:30,1/3/2021 14:30,0:02:23,In Store
5E+17,19,19,1/3/2021 14:51,1,,,,None,,Lunch,Take Out,0,16.65,1.12,2.5,0,20.27,FALSE,1/3/2021 15:45,1/3/2021 15:45,0:53:40,In Store
5E+17,21,21,1/3/2021 16:00,1,,,,None,,Dinner,DoorDash,0,43.4,2.91,0,0,46.31,FALSE,1/3/2021 16:00,1/3/2021 16:00,,API
5E+17,22,22,1/3/2021 16:09,1,,,,None,,Dinner,Take Out,0,22.77,1.52,3.42,0,27.71,FALSE,1/3/2021 16:09,1/4/2021 4:12,,Online
5E+17,23,23,1/3/2021 16:14,1,,,,None,,Dinner,Take Out,0,50.48,3.39,0,0,53.87,FALSE,1/3/2021 16:14,1/4/2021 4:12,,Online
5E+17,24,24,1/3/2021 16:16,1,,,,None,,Dinner,Take Out,0,20.45,1.38,5.11,0,26.94,FALSE,1/3/2021 16:16,1/3/2021 16:16,0:00:43,In Store
5E+17,26,26,1/3/2021 16:40,1,,,,None,,Dinner,DoorDash,0,24.54,1.64,0,0,26.18,FALSE,1/3/2021 16:40,1/3/2021 16:40,,API
5E+17,27,27,1/3/2021 16:47,1,,,,None,,Dinner,DoorDash,0,23.97,1.6,0,0,25.57,FALSE,1/3/2021 16:47,1/3/2021 16:47,,API
5E+17,29,29,1/3/2021 16:55,1,,,,None,,Dinner,Take Out,0,54.87,3.67,5,0,63.54,FALSE,1/3/2021 16:55,1/4/2021 4:12,,Online
5E+17,30,30,1/3/2021 17:02,1,,,,None,,Dinner,Take Out,0,45.61,3.06,3,0,51.67,FALSE,1/3/2021 17:03,1/3/2021 17:03,0:01:29,In Store
5E+17,31,31,1/3/2021 17:14,1,,,,None,,Dinner,Take Out,0,7.18,0.48,0,0,7.66,FALSE,1/3/2021 17:14,1/4/2021 4:12,,Toast Pickup App
5E+17,32,32,1/3/2021 17:38,1,,,,None,,Dinner,Take Out,0,34.71,2.33,0,0,37.04,FALSE,1/3/2021 17:38,1/4/2021 4:12,,Online
5E+17,34,34,1/3/2021 17:43,1,,,,None,,Dinner,Take Out,0,30.15,2.02,4.52,0,36.69,FALSE,1/3/2021 17:43,1/4/2021 4:12,,Online
5E+17,33,33,1/3/2021 17:42,1,,,,None,,Dinner,Take Out,0,19.55,1.31,0,0,20.86,FALSE,1/3/2021 17:44,1/3/2021 17:44,0:02:48,In Store
