Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
5E+17,23,1/6/2021 18:26,1/6/2021 18:15,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Cookie and Cream,,Milkshake,MILKSHAKES AND FLOATS,,5.59,0,5.59,1,0.38,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,26,1/6/2021 18:43,1/6/2021 18:43,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,10.37,0,10.37,1,0.69,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,26,1/6/2021 18:43,1/6/2021 18:43,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Texan Burger,,Burgers,OUR SIGNATURE BURGERS,,8.19,0,8.19,1,0.55,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,27,1/6/2021 18:53,1/6/2021 18:53,5E+17,,,,Dinner,DoorDash,5E+17,5E+17,5E+17,,,Cajun Fries,,Sides,SIDES,,3.59,0,3.59,1,0.24,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,27,1/6/2021 18:53,1/6/2021 18:53,5E+17,,,,Dinner,DoorDash,5E+17,5E+17,5E+17,,,California Burger,,Burgers,OUR SIGNATURE BURGERS,,14.36,0,14.36,2,0.96,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,28,1/6/2021 19:08,1/6/2021 19:07,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Texan Burger,,Burgers,OUR SIGNATURE BURGERS,,8.19,0,8.19,1,0.55,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,28,1/6/2021 19:08,1/6/2021 19:07,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,8.37,0,8.37,1,0.56,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,28,1/6/2021 19:08,1/6/2021 19:07,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,5.19,0,5.19,1,0.35,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,28,1/6/2021 19:08,1/6/2021 19:07,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Fried Pickles,,Appetizers,APPETIZERS,,7.29,0,7.29,1,0.49,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,1/7/2021 11:09,1/7/2021 11:09,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,3.19,0,3.19,1,0.22,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,1/7/2021 11:09,1/7/2021 11:09,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Cajun Fries,,Sides,SIDES,,4.59,0,4.59,1,0.31,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,1/7/2021 11:09,1/7/2021 11:09,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,5.19,0,5.19,1,0.35,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,1/7/2021 11:09,1/7/2021 11:09,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Chili Dog,,Big Dogs,BIG DOGS,,5.09,0,5.09,1,0.34,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,1/7/2021 11:09,1/7/2021 11:09,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Cheesesteak,,Cheesesteak,CHEESESTEAKS,,8.99,0,8.99,1,0.6,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,1/7/2021 11:09,1/7/2021 11:09,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Clinton B's Burger,,Burgers,OUR SIGNATURE BURGERS,,9.56,0,9.56,1,0.64,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,1/7/2021 11:32,1/7/2021 11:20,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,1/7/2021 11:32,1/7/2021 11:20,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,5.19,0,5.19,1,0.35,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,4,1/7/2021 11:52,1/7/2021 11:52,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Stewarts Root Beer,,Drinks,BEVERAGES,,5.58,0,5.58,2,0.37,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,4,1/7/2021 11:52,1/7/2021 11:52,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Hot Dog,,Big Dogs,BIG DOGS,,3.29,0,3.29,1,0.22,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,4,1/7/2021 11:52,1/7/2021 11:52,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,4.19,0,4.19,1,0.28,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,4,1/7/2021 11:52,1/7/2021 11:52,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,11.37,0,11.37,1,0.76,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,1/7/2021 11:57,1/7/2021 11:20,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Bottle Soda,,Drinks,BEVERAGES,,2.29,0,2.29,1,0.16,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,5,1/7/2021 12:10,1/7/2021 12:02,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,5.99,0,5.99,1,0.4,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,6,1/7/2021 12:11,1/7/2021 12:10,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,3.19,0,3.19,1,0.22,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,6,1/7/2021 12:11,1/7/2021 12:10,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,6.99,0,6.99,1,0.47,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,7,1/7/2021 12:23,1/7/2021 12:23,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,The Cheeseburger Deluxe,,Specials,DAILY SPECIALS,,11.39,0,11.39,1,0.76,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,8,1/7/2021 12:24,1/7/2021 12:24,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,The Cheeseburger Deluxe,,Specials,DAILY SPECIALS,,11.39,0,11.39,1,0.76,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,9,1/7/2021 12:25,1/7/2021 12:25,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,9.18,0,9.18,1,0.61,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,10,1/7/2021 12:26,1/7/2021 12:26,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Hot Dog,,Big Dogs,BIG DOGS,,6.58,0,6.58,2,0.44,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,10,1/7/2021 12:26,1/7/2021 12:26,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Bottle Soda,,Drinks,BEVERAGES,,2.29,0,2.29,1,0.16,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,11,1/7/2021 13:07,1/7/2021 13:07,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,California Burger,,Burgers,OUR SIGNATURE BURGERS,,9.18,0,9.18,1,0.61,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,11,1/7/2021 13:07,1/7/2021 13:07,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Chowly Open Item,,Chowly Open Item,Chowly Open Item Menu,,0,0,0,1,0.00E+00,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,12,1/7/2021 13:13,1/7/2021 13:12,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,12,1/7/2021 13:13,1/7/2021 13:12,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,10.18,0,10.18,1,0.68,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,12,1/7/2021 13:13,1/7/2021 13:12,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,3.19,0,3.19,1,0.22,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,12,1/7/2021 13:13,1/7/2021 13:12,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Bottle Soda,,Drinks,BEVERAGES,,4.58,0,4.58,2,0.31,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,13,1/7/2021 13:39,1/7/2021 13:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,8.37,0,8.37,1,0.56,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,13,1/7/2021 13:39,1/7/2021 13:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,3.19,0,3.19,1,0.22,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,13,1/7/2021 13:39,1/7/2021 13:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Choco,,Milkshake,MILKSHAKES AND FLOATS,,5.59,0,5.59,1,0.38,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,13,1/7/2021 13:39,1/7/2021 13:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,California Burger,,Burgers,OUR SIGNATURE BURGERS,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,13,1/7/2021 13:39,1/7/2021 13:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Cajun Fries,,Sides,SIDES,,3.59,0,3.59,1,0.24,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,13,1/7/2021 13:39,1/7/2021 13:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Bottle Soda,,Drinks,BEVERAGES,,2.29,0,2.29,1,0.16,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,14,1/7/2021 13:46,1/7/2021 13:45,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,California Burger,,Burgers,OUR SIGNATURE BURGERS,,10.37,0,10.37,1,0.69,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,15,1/7/2021 13:59,1/7/2021 13:58,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,15,1/7/2021 13:59,1/7/2021 13:58,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,6.38,0,6.38,2,0.43,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,15,1/7/2021 13:59,1/7/2021 13:58,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,6.99,0,6.99,1,0.47,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,16,1/7/2021 14:51,1/7/2021 14:51,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Hot Dog,,Big Dogs,BIG DOGS,,6.58,0,3.96,2,0.27,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,16,1/7/2021 14:51,1/7/2021 14:51,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Chicken Fingers,,Appetizers,APPETIZERS,,5.99,0,3.61,1,0.24,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,17,1/7/2021 14:56,1/7/2021 14:56,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Vanilla,,Milkshake,MILKSHAKES AND FLOATS,,5.59,0,5.59,1,0.38,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
